"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Sexe","Nombre"
2019,2,"Eixample",5,"el Fort Pienc","2 dones",2833
2019,2,"Eixample",6,"la Sagrada Família","2 dones",4636
2019,2,"Eixample",7,"la Dreta de l'Eixample","2 dones",3870
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","2 dones",3747
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","2 dones",5220
2019,2,"Eixample",10,"Sant Antoni","2 dones",3207
2019,3,"Sants-Montjuïc",11,"el Poble Sec","2 dones",3095
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","2 dones",84
2019,3,"Sants-Montjuïc",13,"la Marina de Port","2 dones",2708
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","2 dones",939
2019,3,"Sants-Montjuïc",15,"Hostafrancs","2 dones",1408
2019,3,"Sants-Montjuïc",16,"la Bordeta","2 dones",1723
2019,3,"Sants-Montjuïc",17,"Sants - Badal","2 dones",2105
2019,3,"Sants-Montjuïc",18,"Sants","2 dones",3525
2019,4,"Les Corts",19,"les Corts","2 dones",4272
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","2 dones",2210
2019,4,"Les Corts",21,"Pedralbes","2 dones",1057
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","2 dones",425
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","2 dones",2191
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","2 dones",1432
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","2 dones",2321
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","2 dones",4358
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","2 dones",2750
2019,6,"Gràcia",28,"Vallcarca i els Penitents","2 dones",1501
2019,6,"Gràcia",29,"el Coll","2 dones",716
2019,6,"Gràcia",30,"la Salut","2 dones",1157
2019,6,"Gràcia",31,"la Vila de Gràcia","2 dones",4407
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","2 dones",3224
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","2 dones",2354
2019,7,"Horta-Guinardó",34,"Can Baró","2 dones",823
2019,7,"Horta-Guinardó",35,"el Guinardó","2 dones",3315
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","2 dones",866
2019,7,"Horta-Guinardó",37,"el Carmel","2 dones",2829
2019,7,"Horta-Guinardó",38,"la Teixonera","2 dones",1020
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","2 dones",604
2019,7,"Horta-Guinardó",40,"Montbau","2 dones",449
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","2 dones",481
2019,7,"Horta-Guinardó",42,"la Clota","2 dones",59
2019,7,"Horta-Guinardó",43,"Horta","2 dones",2339
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","2 dones",2351
2019,8,"Nou Barris",45,"Porta","2 dones",2089
2019,8,"Nou Barris",46,"el Turó de la Peira","2 dones",1286
2019,8,"Nou Barris",47,"Can Peguera","2 dones",210
2019,8,"Nou Barris",48,"la Guineueta","2 dones",1378
2019,8,"Nou Barris",49,"Canyelles","2 dones",625
2019,8,"Nou Barris",50,"les Roquetes","2 dones",1331
2019,8,"Nou Barris",51,"Verdun","2 dones",1064
2019,8,"Nou Barris",52,"la Prosperitat","2 dones",2310
2019,8,"Nou Barris",53,"la Trinitat Nova","2 dones",636
2019,8,"Nou Barris",54,"Torre Baró","2 dones",259
2019,8,"Nou Barris",55,"Ciutat Meridiana","2 dones",864
2019,8,"Nou Barris",56,"Vallbona","2 dones",123
