"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"99400076520","Punt Verd Mòbil *Riera Blanca-Sants","#","C","Sants","390","390","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.376076","2.121924","426573.477","4580878.363","426665.374","4581079.286","","","","01/01","31/12","1111011","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400145147","Punt Verd Mòbil *Rambla Prim-Cristóbal de Moura","#","C","Cristóbal de Moura","227","227","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.416667","2.213372","434261.505","4585311.233","434353.472","4585512.199","","","","01/01","31/12","1111101","08:30:00","14:00:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400145147","Punt Verd Mòbil *Rambla Prim-Cristóbal de Moura","#","C","Cristóbal de Moura","227","227","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.416667","2.213372","434261.505","4585311.233","434353.472","4585512.199","","","","01/01","31/12","1111101","08:30:00","14:00:00","","","Punt verd mòbil","Medi ambient",
"99400182683","Punt Verd Mòbil *Joan Güell","#","C","Joan Güell","53","53","18","Sants","03","Sants-Montjuïc","08028","019","BARCELONA","41.378379","2.13342","427537.34","4581124.303","427629.246","4581325.228","","","","01/01","31/12","1101111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182683","Punt Verd Mòbil *Joan Güell","#","C","Joan Güell","53","53","18","Sants","03","Sants-Montjuïc","08028","019","BARCELONA","41.378379","2.13342","427537.34","4581124.303","427629.246","4581325.228","","","","01/01","31/12","1101111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182684","Punt Verd Mòbil *Plaça Olivereta","#","C","Bacardí","33","33","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.372994","2.128783","427143.535","4580530.439","427235.438","4580731.358","","","","01/01","31/12","1110111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182684","Punt Verd Mòbil *Plaça Olivereta","#","C","Bacardí","33","33","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.372994","2.128783","427143.535","4580530.439","427235.438","4580731.358","","","","01/01","31/12","1110111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182686","Punt Verd Mòbil *Passeig Sant Antoni-Galileu","#","Pg","Sant Antoni","1","1","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.376432","2.136173","427765.352","4580905.865","427857.26","4581106.788","","","","01/01","31/12","1111011","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182686","Punt Verd Mòbil *Passeig Sant Antoni-Galileu","#","Pg","Sant Antoni","1","1","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.376432","2.136173","427765.352","4580905.865","427857.26","4581106.788","","","","01/01","31/12","1111011","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182699","Punt Verd Mòbil *Plaça Sara Bernhardt","#","Pl","Sarah Bernhardt","1","1","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.367479","2.139749","428054.54","4579909.009","428146.451","4580109.923","","","","01/01","31/12","1101111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182699","Punt Verd Mòbil *Plaça Sara Bernhardt","#","Pl","Sarah Bernhardt","1","1","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.367479","2.139749","428054.54","4579909.009","428146.451","4580109.923","","","","01/01","31/12","1101111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182700","Punt Verd Mòbil *Avinguda Paral·lel-Jaume Fabra","#","C","Jaume Fabra","3","3","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.374743","2.160384","429788.158","4580698.515","429880.085","4580899.437","","","","01/01","31/12","1101111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182700","Punt Verd Mòbil *Avinguda Paral·lel-Jaume Fabra","#","C","Jaume Fabra","3","3","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.374743","2.160384","429788.158","4580698.515","429880.085","4580899.437","","","","01/01","31/12","1101111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182701","Punt Verd Mòbil *Mercat de les Corts","#","Trav","Corts","229","229","19","les Corts","04","Les Corts","08028","019","BARCELONA","41.38447","2.130979","427339.952","4581802.567","427431.856","4582003.498","","","","01/01","31/12","1110111","08:30:00","14:00:00","","","Punt verd mòbil","Medi ambient",
"99400182701","Punt Verd Mòbil *Mercat de les Corts","#","Trav","Corts","229","229","19","les Corts","04","Les Corts","08028","019","BARCELONA","41.38447","2.130979","427339.952","4581802.567","427431.856","4582003.498","","","","01/01","31/12","1110111","08:30:00","14:00:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182702","Punt Verd Mòbil *Turó Parc","#","Av","Pau Casals","17","17","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.39376","2.142043","428275.291","4582824.787","428367.203","4583025.728","","","","01/01","31/12","0111111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
