ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
8155800,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1633295,41.3787426,430038.735,4581140.120,2000/01/01,2016/08/21
8155803,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1632992,41.3787331,430036.200,4581139.105,2000/01/01,2016/08/21
8160710,255128000_Taco,2.52,1,Ciutat Vella,1,el Raval,2.1752121,41.3762403,431029.711,4580852.842,2000/01/01,2020/06/14
8160720,255128000_Taco,2.52,1,Ciutat Vella,1,el Raval,2.1752493,41.3762343,431032.815,4580852.137,2000/01/01,2013/03/14
8160768,255128000_Taco,2.00,1,Ciutat Vella,1,el Raval,2.1728290,41.3789637,430833.315,4581157.034,2000/01/01,2016/08/21
8160828,255128000_Taco,2.99,1,Ciutat Vella,1,el Raval,2.1759267,41.3777036,431091.014,4581014.715,2000/01/01,2018/03/20
8160840,255128000_Taco,3.00,1,Ciutat Vella,1,el Raval,2.1761974,41.3772370,431113.158,4580962.648,2000/01/01,2020/06/18
8171876,255128000_Taco,4.00,1,Ciutat Vella,1,el Raval,2.1770418,41.3736806,431180.018,4580567.210,2000/01/01,2017/12/14
8171916,255128000_Taco,6.13,1,Ciutat Vella,1,el Raval,2.1764667,41.3732556,431131.475,4580520.485,2000/01/01,2020/06/14
8171982,255128000_Taco,5.76,1,Ciutat Vella,1,el Raval,2.1766878,41.3733516,431150.071,4580530.980,2000/01/01,2020/06/14
8156386,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1647355,41.3776104,430155.092,4581013.323,2000/01/01,2019/12/11
8171566,255128000_Taco,5.21,1,Ciutat Vella,1,el Raval,2.1771207,41.3739286,431186.880,4580594.597,2000/01/01,2017/12/14
8171675,255128000_Taco,4.50,1,Ciutat Vella,1,el Raval,2.1755621,41.3745446,431057.197,4580664.229,2000/01/01,2015/03/31
8171792,255128000_Taco,13.00,1,Ciutat Vella,1,el Raval,2.1768144,41.3746336,431162.010,4580673.175,2000/01/01,2017/12/14
8172144,255128000_Taco,7.36,1,Ciutat Vella,1,el Raval,2.1734725,41.3748914,430882.807,4580704.423,2000/01/01,2020/02/12
8559875,255128000_Taco,4.50,1,Ciutat Vella,1,el Raval,2.1678086,41.3751135,430409.416,4580733.672,2010/07/05,2015/03/31
8559304,255128000_Taco,7.25,1,Ciutat Vella,1,el Raval,2.1668265,41.3758775,430328.104,4580819.245,2000/01/01,2015/03/31
8714614,255128000_Taco,2.67,1,Ciutat Vella,1,el Raval,2.1752002,41.3763163,431028.798,4580861.216,2013/03/15,2020/06/14
8714624,255128000_Taco,2.43,1,Ciutat Vella,1,el Raval,2.1752348,41.3763117,431031.686,4580860.744,2000/01/01,2020/06/14
8714609,255128000_Taco,2.52,1,Ciutat Vella,1,el Raval,2.1751771,41.3762484,431026.796,4580853.706,2013/03/15,2020/06/14
8889479,255128000_Taco,6.50,1,Ciutat Vella,1,el Raval,2.1702154,41.3750036,430610.565,4580719.500,2015/04/01,2020/02/12
8889506,255128000_Taco,5.50,1,Ciutat Vella,1,el Raval,2.1680673,41.3750183,430430.942,4580722.880,2015/04/01,2020/02/12
8891510,255128000_Taco,7.25,1,Ciutat Vella,1,el Raval,2.1668209,41.3758821,430327.642,4580819.758,2015/04/01,2020/05/28
9062923,255128000_Taco,2.51,1,Ciutat Vella,1,el Raval,2.1705800,41.3844531,430651.095,4581768.286,2000/01/01,2017/10/19
9062928,255128000_Taco,2.51,1,Ciutat Vella,1,el Raval,2.1705755,41.3844588,430650.722,4581768.955,2000/01/01,2017/10/19
9063017,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1732459,41.3810062,430870.340,4581383.498,2000/01/01,2017/10/19
9063023,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1732193,41.3810385,430868.160,4581387.054,2000/01/01,2017/10/19
9063341,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1699393,41.3854135,430598.538,4581875.433,2000/01/01,2017/10/19
9063355,255128000_Taco,3.14,1,Ciutat Vella,1,el Raval,2.1710849,41.3837429,430692.556,4581689.046,2000/01/01,2017/10/19
9063368,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1716360,41.3829792,430737.822,4581603.761,2000/01/01,2017/10/19
9063414,255128000_Taco,4.25,1,Ciutat Vella,1,el Raval,2.1723730,41.3820217,430798.424,4581496.944,2000/01/01,2017/10/19
9063423,255128000_Taco,3.75,1,Ciutat Vella,1,el Raval,2.1730078,41.3812794,430850.723,4581414.020,2000/01/01,2017/10/19
9063499,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1745782,41.3794576,430980.102,4581210.518,2000/01/01,2017/10/19
9062917,255128000_Taco,3.00,1,Ciutat Vella,1,el Raval,2.1705053,41.3845593,430644.962,4581780.168,2000/01/01,2017/10/19
9063334,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1699141,41.3854518,430596.478,4581879.674,2000/01/01,2017/10/19
9063837,255128000_Taco,3.00,1,Ciutat Vella,1,el Raval,2.1740576,41.3800661,430937.211,4581278.415,2000/01/01,2017/10/19
9063788,255128000_Taco,3.75,1,Ciutat Vella,1,el Raval,2.1740154,41.3801100,430933.740,4581283.324,2017/10/20,
9063193,255128000_Taco,2.75,1,Ciutat Vella,1,el Raval,2.1711598,41.3836382,430698.708,4581677.302,2017/10/20,
9080641,255128000_Taco,7.25,1,Ciutat Vella,1,el Raval,2.1671585,41.3857275,430366.369,4581912.538,2000/01/01,2018/01/21
9080462,255128000_Taco,2.75,1,Ciutat Vella,1,el Raval,2.1637091,41.3824207,430074.420,4581548.130,2018/01/22,
9080628,255128000_Taco,6.22,1,Ciutat Vella,1,el Raval,2.1671118,41.3857236,430362.463,4581912.090,2000/01/01,2018/01/21
9117231,255128000_Taco,3.50,1,Ciutat Vella,1,el Raval,2.1771186,41.3739059,431186.684,4580592.141,2017/12/15,2020/06/14
9117281,255128000_Taco,3.18,1,Ciutat Vella,1,el Raval,2.1770982,41.3737533,431184.816,4580575.172,2017/12/15,
9117352,255128000_Taco,6.00,1,Ciutat Vella,1,el Raval,2.1767428,41.3746638,431156.061,4580676.578,2017/12/15,2020/06/14
9117376,255128000_Taco,5.50,1,Ciutat Vella,1,el Raval,2.1768487,41.3745483,431164.788,4580663.673,2017/12/15,2020/06/14
9117452,255128000_Taco,6.00,1,Ciutat Vella,1,el Raval,2.1773100,41.3753552,431204.202,4580752.904,2017/12/15,2020/06/14
9160831,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1715905,41.3829090,430733.947,4581596.033,2017/10/20,2018/03/20
9160836,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1715256,41.3829063,430728.512,4581595.808,2017/10/20,2018/03/20
9158687,255128000_Taco,2.99,1,Ciutat Vella,1,el Raval,2.1759267,41.3777034,431091.016,4581014.713,2000/01/01,2018/03/20
9352914,255128000_Taco,3.31,1,Ciutat Vella,2,el Barri Gòtic,2.1786268,41.3838796,431323.297,4581698.186,2000/01/01,2017/05/30
9352921,255128000_Taco,7.12,1,Ciutat Vella,2,el Barri Gòtic,2.1786645,41.3839186,431326.490,4581702.535,2000/01/01,2017/05/30
9352952,255128000_Taco,6.45,1,Ciutat Vella,2,el Barri Gòtic,2.1789959,41.3837722,431354.041,4581685.973,2000/01/01,2017/05/30
9352966,255128000_Taco,6.25,1,Ciutat Vella,2,el Barri Gòtic,2.1799006,41.3830883,431428.973,4581609.283,2000/01/01,2017/05/30
9352979,255128000_Taco,6.25,1,Ciutat Vella,2,el Barri Gòtic,2.1799413,41.3830580,431432.335,4581605.932,2000/01/01,2017/05/30
9143296,255128000_Taco,4.00,1,Ciutat Vella,2,el Barri Gòtic,2.1820325,41.3808578,431604.889,4581360.026,2018/03/22,
9143310,255128000_Taco,3.00,1,Ciutat Vella,2,el Barri Gòtic,2.1819029,41.3809154,431594.114,4581366.574,2018/03/22,
9143324,255128000_Taco,4.00,1,Ciutat Vella,2,el Barri Gòtic,2.1817685,41.3809765,431582.945,4581373.370,2018/03/22,
9143664,255128000_Taco,3.13,1,Ciutat Vella,2,el Barri Gòtic,2.1836256,41.3779029,431735.011,4581030.743,2018/03/22,
9118329,255128000_Taco,3.00,1,Ciutat Vella,2,el Barri Gòtic,2.1781873,41.3763220,431278.593,4580859.548,2017/12/15,2020/06/14
9118343,255128000_Taco,4.00,1,Ciutat Vella,2,el Barri Gòtic,2.1782776,41.3762069,431286.024,4580846.616,2000/01/01,2020/06/14
9118313,255128000_Taco,4.00,1,Ciutat Vella,2,el Barri Gòtic,2.1780534,41.3763832,431267.458,4580866.399,2017/12/15,2020/06/14
9063801,255128000_Taco,6.25,1,Ciutat Vella,2,el Barri Gòtic,2.1742186,41.3803574,430950.989,4581310.632,2010/07/18,2017/10/19
9063753,255128000_Taco,2.00,1,Ciutat Vella,2,el Barri Gòtic,2.1728290,41.3818313,430836.360,4581475.390,2017/10/20,
9063262,255128000_Taco,3.25,1,Ciutat Vella,2,el Barri Gòtic,2.1707957,41.3846685,430669.356,4581792.070,2017/06/16,2017/10/19
9063321,255128000_Taco,3.25,1,Ciutat Vella,2,el Barri Gòtic,2.1713354,41.3838183,430713.574,4581697.236,2000/01/01,2017/10/19
9063327,255128000_Taco,3.25,1,Ciutat Vella,2,el Barri Gòtic,2.1713558,41.3837857,430715.246,4581693.516,2000/01/01,2017/10/19
9062673,255128000_Taco,1.50,1,Ciutat Vella,2,el Barri Gòtic,2.1775313,41.3766442,431224.077,4580895.795,2000/01/01,2020/06/14
9062876,255128000_Taco,3.00,1,Ciutat Vella,2,el Barri Gòtic,2.1755046,41.3861847,431064.677,4581956.540,2017/10/20,2020/07/12
9062898,255128000_Taco,3.26,1,Ciutat Vella,2,el Barri Gòtic,2.1702645,41.3855292,430625.858,4581888.033,2000/01/01,2017/10/19
9062904,255128000_Taco,3.51,1,Ciutat Vella,2,el Barri Gòtic,2.1702458,41.3855661,430624.338,4581892.138,2000/01/01,2017/10/19
9063455,255128000_Taco,2.99,1,Ciutat Vella,2,el Barri Gòtic,2.1734085,41.3811771,430884.118,4581402.273,2000/01/01,2017/10/19
9063029,255128000_Taco,2.00,1,Ciutat Vella,2,el Barri Gòtic,2.1717706,41.3830753,430749.178,4581614.395,2000/01/01,2017/10/19
9034883,255128000_Taco,3.50,1,Ciutat Vella,2,el Barri Gòtic,2.1708253,41.3846267,430671.788,4581787.379,2000/01/01,2017/10/19
8848073,255128000_Taco,2.50,1,Ciutat Vella,2,el Barri Gòtic,2.1727261,41.3819579,430827.893,4581489.562,2015/12/01,2017/10/19
8848097,255128000_Taco,3.33,1,Ciutat Vella,2,el Barri Gòtic,2.1709790,41.3843829,430684.376,4581760.130,2015/12/01,2017/06/15
8628624,255128000_Taco,2.46,1,Ciutat Vella,2,el Barri Gòtic,2.1742312,41.3803719,430952.059,4581312.228,2010/07/18,2017/10/19
8653892,255128000_Taco,3.00,1,Ciutat Vella,2,el Barri Gòtic,2.1796092,41.3780788,431399.340,4581053.394,2009/09/01,2019/08/27
8653898,255128000_Taco,3.00,1,Ciutat Vella,2,el Barri Gòtic,2.1796109,41.3780813,431399.490,4581053.682,2009/09/01,2019/08/27
8653938,255128000_Taco,4.00,1,Ciutat Vella,2,el Barri Gòtic,2.1797608,41.3780374,431411.981,4581048.686,2009/09/01,2019/08/27
8653954,255128000_Taco,1.50,1,Ciutat Vella,2,el Barri Gòtic,2.1807905,41.3795484,431499.665,4581215.642,2009/09/01,
8653961,255128000_Taco,3.98,1,Ciutat Vella,2,el Barri Gòtic,2.1806819,41.3791736,431490.190,4581174.073,2009/09/01,2019/08/27
8531339,255128000_Taco,3.00,1,Ciutat Vella,2,el Barri Gòtic,2.1818194,41.3808180,431587.030,4581355.747,2009/01/08,2018/03/21
8531346,255128000_Taco,3.00,1,Ciutat Vella,2,el Barri Gòtic,2.1818498,41.3808519,431589.610,4581359.567,2009/01/08,2018/03/21
8457959,255128000_Taco,4.00,1,Ciutat Vella,2,el Barri Gòtic,2.1817065,41.3811274,431577.921,4581390.225,2009/01/08,2019/08/27
8458679,255128000_Taco,4.50,1,Ciutat Vella,2,el Barri Gòtic,2.1750719,41.3867063,431029.048,4582014.831,2000/01/01,2019/03/31
8458684,255128000_Taco,1.63,1,Ciutat Vella,2,el Barri Gòtic,2.1750923,41.3866579,431030.700,4582009.428,2009/06/08,2011/06/05
8458721,255128000_Taco,2.50,1,Ciutat Vella,2,el Barri Gòtic,2.1747515,41.3869212,431002.483,4582038.940,2009/06/08,2014/06/30
8336338,255128000_Taco,4.15,1,Ciutat Vella,2,el Barri Gòtic,2.1819531,41.3807491,431598.136,4581348.013,2000/01/01,2018/03/21
8336361,255128000_Taco,4.16,1,Ciutat Vella,2,el Barri Gòtic,2.1817205,41.3809230,431578.868,4581367.514,2000/01/01,2018/03/21
